STATE,CONSTITUENCY, Assets , Liabilities ,NAME,WINNER,PARTY,SYMBOL,GENDER,"CRIMINAL
CASES",AGE,CATEGORY,EDUCATION,"GENERAL
VOTES","POSTAL
VOTES","TOTAL
VOTES","OVER TOTAL ELECTORS 
IN CONSTITUENCY","OVER TOTAL VOTES POLLED 
IN CONSTITUENCY",TOTAL ELECTORS,
Telangana,ADILABAD,3099414,231450,SOYAM BAPU RAO,1,BJP,Lotus,MALE,52,52,ST,12th Pass,376892,482,377374,25.33068419,35.4682479,1489790,"Rs 30,99,414
 ~ 30 Lacs+"
Telangana,ADILABAD,18477888,847000,Godam Nagesh,0,TRS,Car,MALE,0,54,ST,Post Graduate,318665,149,318814,21.39992885,29.96436953,1489790,
Telangana,ADILABAD,36491000,15300000,RATHOD RAMESH,0,INC,Hand,MALE,3,52,ST,12th Pass,314057,181,314238,21.09277146,29.53428505,1489790,
Uttar Pradesh,AGRA,74274036,8606522,Satyapal Singh Baghel,1,BJP,Lotus,MALE,5,58,SC,Doctorate,644459,2416,646875,33.38382301,56.46461464,1937690,
Uttar Pradesh,AGRA,133784385,22251891,Manoj Kumar Soni,0,BSP,Elephant,MALE,0,47,SC,Post Graduate,434199,1130,435329,22.46639039,37.99912537,1937690,
Uttar Pradesh,AGRA,55075753, -   ,Preeta Harit,0,INC,Hand,FEMALE,0,54,SC,Post Graduate,44877,272,45149,2.330042473,3.940979148,1937690,
Maharashtra,AHMADNAGAR,168664576,2623964,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,1,BJP,Lotus,MALE,0,37,GENERAL,Doctorate,696961,7699,704660,37.85653348,58.42515898,1861396,
Maharashtra,AHMADNAGAR,94488381,32549132,SANGRAM ARUNKAKA JAGTAP,0,NCP,Clock,MALE,1,34,GENERAL,Graduate,419364,3822,423186,22.73487211,35.08743129,1861396,
Gujarat,AHMEDABAD EAST,74699690,6252577,Patel Hasmukhbhai Somabhai,1,BJP,Lotus,MALE,0,58,GENERAL,Others,745810,4024,749834,41.3849704,67.00546171,1811851,
Gujarat,AHMEDABAD EAST,40375418,3121888,Gitaben Patel,0,INC,Hand,FEMALE,6,38,GENERAL,10th Pass,312883,2621,315504,17.41335242,28.19356176,1811851,
Gujarat,AHMEDABAD WEST,89474039, -   ,DR. KIRIT P. SOLANKI,1,BJP,Lotus,MALE,0,69,SC,Post Graduate,638241,3381,641622,39.04432316,64.21145018,1643317,
Gujarat,AHMEDABAD WEST,262997727,18943977,RAJU PARMAR,0,INC,Hand,MALE,0,68,SC,Graduate,317797,2279,320076,19.47743497,32.03216867,1643317,
Rajasthan,AJMER,85101774,8319942,Bhagirath Chaudhary,1,BJP,Lotus,MALE,0,64,GENERAL,12th Pass,811091,3985,815076,43.4395362,64.52234957,1876346,
Rajasthan,AJMER,853998231,306012685,Riju Jhunjhunwala,0,INC,Hand,MALE,0,40,GENERAL,Graduate,397420,1232,398652,21.24618807,31.55774885,1876346,
Uttar Pradesh,AKBARPUR,1141980, -   ,Devendra Singh 'Bhole',1,BJP,Lotus,MALE,0,64,GENERAL,10th Pass,577603,3679,581282,32.91292046,56.62023333,1766121,
Uttar Pradesh,AKBARPUR,134448979,13619617,Nisha Sachan,0,BSP,Elephant,FEMALE,0,46,GENERAL,Post Graduate,304553,1587,306140,17.33403317,29.81980903,1766121,
Uttar Pradesh,AKBARPUR,19097262,8600000,Rajaram Pal,0,INC,Hand,MALE,1,58,GENERAL,Graduate Professional,107592,749,108341,6.134404155,10.55304086,1766121,
Maharashtra,AKOLA,77153230,14985774,Dhotre Sanjay Shamrao,1,BJP,Lotus,MALE,1,60,GENERAL,Graduate Professional,552898,1546,554444,29.72620712,49.49575293,1865169,
Maharashtra,AKOLA,58722916, -   ,Ambedkar (Adv) Prakash Yashwant,0,VBA,Cup & Saucer,MALE,0,64,GENERAL,Graduate Professional,278241,607,278848,14.95028064,24.89303106,1865169,
Maharashtra,AKOLA,14947292,483635,Hidayatullah Barakatullah Patel,0,INC,Hand,MALE,1,60,GENERAL,10th Pass,254094,276,254370,13.63790627,22.70785629,1865169,
Kerala,ALAPPUZHA,15268906,2220700,Adv. A M ARIFF,1,CPI(M),"Hammer, Sickle and Star",MALE,2,54,GENERAL,Graduate Professional,443003,2967,445970,32.87164969,40.91047525,1356701,
Kerala,ALAPPUZHA,18665943,825000,Adv. SHANIMOL OSMAN,0,INC,Hand,FEMALE,0,52,GENERAL,Post Graduate,433790,1706,435496,32.09962991,39.94965655,1356701,
Kerala,ALAPPUZHA,16484722, -   ,Dr. K. S. RADHAKRISHNAN,0,BJP,Lotus,MALE,1,64,GENERAL,Doctorate,186278,1451,187729,13.83716825,17.22107453,1356701,
Kerala,ALATHUR,1152816, -   ,RAMYA HARIDAS,1,INC,Hand,FEMALE,3,32,SC,10th Pass,532493,1322,533815,42.13905339,52.36684011,1266794,
Kerala,ALATHUR,4083003,519379,DR. P.K.BIJU,0,CPI(M),"Hammer, Sickle and Star",MALE,0,44,SC,Doctorate,373696,1151,374847,29.59020962,36.77220182,1266794,
Kerala,ALATHUR,1261055,685000,T.V.BABU,0,BDJS,Pot,MALE,4,61,SC,10th Pass,89575,262,89837,7.091681836,8.812940466,1266794,
Uttar Pradesh,ALIGARH,109522559,28095176,SATISH KUMAR GAUTAM,1,BJP,Lotus,MALE,0,46,GENERAL,10th Pass,651805,4410,656215,34.77322936,56.37828085,1887127,
Uttar Pradesh,ALIGARH,281852783, -   ,DR. AJEET BALIYAN,0,BSP,Elephant,MALE,0,51,GENERAL,Doctorate,424890,2064,426954,22.62455044,36.68147257,1887127,
Uttar Pradesh,ALIGARH,12863000,4273034,BIJENDRA SINGH CHAUDHARY,0,INC,Hand,MALE,4,62,GENERAL,Graduate,50346,534,50880,2.696161944,4.371321792,1887127,
West Bengal,ALIPURDUARS,1418730, -   ,JOHN BARLA,1,BJP,Lotus,MALE,9,43,ST,8th Pass,747788,3016,750804,45.54790968,54.35976298,1648383,
West Bengal,ALIPURDUARS,9039609,581713,DASRATH TIRKEY,0,AITC,Flowers and Grass,MALE,0,52,ST,Graduate,505885,930,506815,30.74619187,36.69445458,1648383,
West Bengal,ALIPURDUARS,2804955,304672,MILI ORAON,0,RSP,Spade & Stoker,FEMALE,0,42,ST,Post Graduate,53859,151,54010,3.276544347,3.910435745,1648383,
Uttar Pradesh,ALLAHABAD,26919330,1600000,Rita Bahuguna Joshi,1,BJP,Lotus,FEMALE,6,69,GENERAL,Doctorate,493204,1250,494454,28.81164926,55.5845464,1716160,
Uttar Pradesh,ALLAHABAD,292681002, -   ,Rajendra Singh Patel,0,SP,Bicycle,MALE,0,63,GENERAL,Graduate,309328,851,310179,18.07401408,34.86908593,1716160,
Uttarakhand,ALMORA,9910448,55845,Ajay Tamta,1,BJP,Lotus,MALE,0,46,SC,12th Pass,430455,14196,444651,33.23728069,63.53909006,1337808,
Uttarakhand,ALMORA,13293598,2500000,Pradeep Tamta,0,INC,Hand,MALE,1,60,SC,Post Graduate,209836,1829,211665,15.82177712,30.24619645,1337808,
Rajasthan,ALWAR,352929, -   ,Balak Nath,1,BJP,Lotus,MALE,0,35,GENERAL,10th Pass,750580,9621,760201,40.25371136,59.93021553,1888524,
Rajasthan,ALWAR,136542038, -   ,Bhanwar Jitendra Singh,0,INC,Hand,MALE,2,47,GENERAL,Graduate,426794,3436,430230,22.78128316,33.91705171,1888524,
Rajasthan,ALWAR,16328526,5844684,Imran Khan,0,BSP,Elephant,MALE,0,31,GENERAL,10th Pass,56399,250,56649,2.999644167,4.465906753,1888524,
Andhra Pradesh,AMALAPURAM,85993362,2431407,CHINTA ANURADHA,1,YSRCP,Ceiling Fan,FEMALE,0,46,SC,Graduate,482003,3955,485958,33.29491982,39.33710441,1459556,
Andhra Pradesh,AMALAPURAM,73049918,1537488,GANTI HARISH MADHUR (BALAYOGI),0,TDP,Bicycle,MALE,0,28,SC,Graduate Professional,443590,2573,446163,30.56840573,36.11579707,1459556,
Andhra Pradesh,AMALAPURAM,28930012, -   ,D M R SEKHAR,0,JnP,Glass Tumbler,MALE,1,59,SC,Post Graduate,253740,1577,255317,17.49278548,20.66728295,1459556,
Haryana,AMBALA,54361499,188861,RATTAN LAL KATARIA,1,BJP,Lotus,MALE,0,67,SC,Post Graduate,744438,2070,746508,40.27100233,56.64280587,1853711,
Haryana,AMBALA,240508152, -   ,SELJA,0,INC,Hand,FEMALE,0,56,SC,Post Graduate,403678,485,404163,21.80291318,30.66668589,1853711,
Haryana,AMBALA,38090737,73613,NARESH KUMAR,0,BSP,Elephant,MALE,0,55,SC,10th Pass,96205,91,96296,5.194768764,7.30665396,1853711,
Uttar Pradesh,AMBEDKAR NAGAR,307265103,24739098,Ritesh Pandey,1,BSP,Elephant,MALE,1,38,GENERAL,Graduate,563445,673,564118,31.59162146,51.7247608,1785657,
Uttar Pradesh,AMBEDKAR NAGAR,24116406,12848,Mukut Bihari,0,BJP,Lotus,MALE,0,71,GENERAL,Graduate Professional,467287,951,468238,26.22216921,42.93339079,1785657,
Uttar Pradesh,AMETHI,111099609, -   ,Smriti Irani,1,BJP,Lotus,FEMALE,0,43,GENERAL,12th Pass,467598,916,468514,26.87180781,49.68566932,1743515,
Uttar Pradesh,AMETHI,158877063,7201904,Rahul Gandhi,0,INC,Hand,MALE,6,48,GENERAL,Post Graduate,412867,527,413394,23.71037817,43.8402216,1743515,
Maharashtra,AMRAVATI,124554656,70576979,Navnit Ravi Rana,1,IND,Spanner,FEMALE,1,33,SC,10th Pass,507844,3103,510947,27.87352074,45.87203159,1833091,
Maharashtra,AMRAVATI,44015877,8545894,Adsul Anandrao Vithoba,0,SHS,Bow and Arrow,MALE,2,71,SC,Graduate,470549,3447,473996,25.8577452,42.55462794,1833091,
Maharashtra,AMRAVATI,351944996,79139288,Gunwant Deopare,0,VBA,Whistle,MALE,2,47,SC,Others,64585,550,65135,3.553287862,5.847719582,1833091,
Gujarat,AMRELI,35900763,828961,Kachhadiya Naranbhai Bhikhabhai,1,BJP,Lotus,MALE,0,64,GENERAL,12th Pass,527593,1442,529035,32.48700759,58.0436736,1628451,
Gujarat,AMRELI,14342991, -   ,Paresh Dhanani,0,INC,Hand,MALE,0,42,GENERAL,Graduate,326781,823,327604,20.11752273,35.94344353,1628451,
Punjab,AMRITSAR,34011739,9031565,GURJEET SINGH AUJLA,1,INC,Hand,MALE,0,46,GENERAL,12th Pass,444052,980,445032,29.51385228,51.71291057,1507875,
Punjab,AMRITSAR,340505737,57940950,HARDEEP SINGH PURI,0,BJP,Lotus,MALE,0,67,GENERAL,Post Graduate,344049,1357,345406,22.90680594,40.13632635,1507875,
Uttar Pradesh,AMROHA,74920879,19579691,KUNWAR DANISH ALI,1,BSP,Elephant,MALE,0,43,GENERAL,Graduate,600744,338,601082,36.50809173,51.38533401,1646435,
Uttar Pradesh,AMROHA,1821251171,10700504,KANWAR SINGH TANWAR,0,BJP,Lotus,MALE,0,58,GENERAL,8th Pass,536380,1454,537834,32.66657961,45.9783852,1646435,
Andhra Pradesh,ANAKAPALLI,91526244,11139279,Dr.Beesetti Venkata Satyavathi,1,YSRCP,Ceiling Fan,FEMALE,0,52,GENERAL,Graduate Professional,583210,3016,586226,38.5329471,47.25891124,1521363,
Andhra Pradesh,ANAKAPALLI,410547212,205591400,ADARI ANAND KUMAR,0,TDP,Bicycle,MALE,0,43,GENERAL,10th Pass,495381,1653,497034,32.67030945,40.06865217,1521363,
Andhra Pradesh,ANAKAPALLI,335308506,110928567,Chintala Partha Sarathi,0,JnP,Glass Tumbler,MALE,0,56,GENERAL,Post Graduate,82126,462,82588,5.428553212,6.657874201,1521363,
Gujarat,ANAND,77043053,7810840,PATEL MITESH RAMESHBHAI (BAKABHAI),1,BJP,Lotus,MALE,2,54,GENERAL,Others,631581,1516,633097,38.23349659,57.03144987,1655870,
Gujarat,ANAND,54490955,1934855,BHARATBHAI MADHAVSINH SOLANKI,0,INC,Hand,MALE,0,65,GENERAL,Graduate Professional,434006,1373,435379,26.29306648,39.22036531,1655870,
Punjab,ANANDPUR SAHIB,154637860, -   ,Manish Tewari,1,INC,Hand,MALE,0,53,GENERAL,Graduate Professional,426904,1141,428045,25.1957765,39.55965857,1698876,
Punjab,ANANDPUR SAHIB,126971695, -   ,Professor Prem Singh Chandumajra,0,SAD,Scales,MALE,1,69,GENERAL,Post Graduate,379552,1609,381161,22.4360695,35.2266678,1698876,
Punjab,ANANDPUR SAHIB,1408265156,3400824,Sodhi Vikram Singh,0,BSP,Elephant,MALE,0,62,GENERAL,Graduate,146077,364,146441,8.61987573,13.53398816,1698876,
Punjab,ANANDPUR SAHIB,255712677,23667368,Narinder Singh Shergill,0,AAP,Broom,MALE,1,51,GENERAL,Post Graduate,52539,513,53052,3.122770585,4.903033574,1698876,
Andhra Pradesh,ANANTAPUR,11773091,1135547,TALARI RANGAIAH,1,YSRCP,Ceiling Fan,MALE,2,48,GENERAL,Doctorate,690901,4307,695208,41.77531007,51.5689326,1664160,
Andhra Pradesh,ANANTAPUR,373887429,84550726,J.C. PAVAN REDDY,0,TDP,Bicycle,MALE,0,45,GENERAL,Graduate,550597,3183,553780,33.27684838,41.07812841,1664160,
Jammu & Kashmir,ANANTNAG,87620672, -   ,HASNAIN MASOODI,1,JKNC,Plough,MALE,0,65,GENERAL,Post Graduate,40032,148,40180,2.874560285,32.02486749,1397779,
Jammu & Kashmir,ANANTNAG,140146018, -   ,GHULAM AHMAD MIR,0,INC,Hand,MALE,0,60,GENERAL,Graduate,32879,625,33504,2.39694544,26.70386163,1397779,
Jammu & Kashmir,ANANTNAG,8903857, -   ,MEHBOOBA MUFTI,0,JKPDP,Ink Pot & Pen,FEMALE,1,59,GENERAL,Graduate Professional,30223,301,30524,2.183750078,24.32869725,1397779,
Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,132233012,80450870,KULDEEP RAI SHARMA,1,INC,Hand,MALE,0,52,GENERAL,Graduate Professional,95249,59,95308,29.92674372,45.95415578,318471,
Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,85140573,4633914,VISHAL JOLLY,0,BJP,Lotus,MALE,1,46,GENERAL,Graduate Professional,93772,129,93901,29.48494525,45.27575001,318471,
Uttar Pradesh,AONLA,21766502,3324300,DHARMENDRA KASHYAP,1,BJP,Lotus,MALE,0,50,GENERAL,10th Pass,536377,1298,537675,30.11164283,51.06600614,1785605,
Uttar Pradesh,AONLA,241164456,2100000,RUCHIVIRA,0,BSP,Elephant,FEMALE,1,57,GENERAL,Graduate,423100,832,423932,23.74164499,40.26319638,1785605,
Uttar Pradesh,AONLA,41189445, -   ,KUNWAR SARVARAJ SINGH,0,INC,Hand,MALE,0,64,GENERAL,Graduate Professional,62407,141,62548,3.502902378,5.940533877,1785605,
Tamil Nadu,ARAKKONAM,1146984897,166365972,S. JAGATHRAKSHAKAN,1,DMK,Rising Sun,MALE,2,71,GENERAL,10th Pass,666688,5502,672190,44.81218867,56.97916102,1500016,
Tamil Nadu,ARAKKONAM,46023417,7710578,A.K. MOORTHY,0,PMK,Mango,MALE,6,55,GENERAL,Post Graduate,341527,1707,343234,22.88202259,29.0947282,1500016,
Tamil Nadu,ARAKKONAM,82000,50000,N.G. PARTHIBAN,0,IND,Gift Pack,MALE,0,43,GENERAL,8th Pass,66595,231,66826,4.455019146,5.664602886,1500016,
West Bengal,ARAMBAGH,12527597,4244000,APARUPA PODDAR (AFRIN ALI),1,AITC,Flowers and Grass,FEMALE,1,33,SC,Post Graduate,649613,316,649929,36.82889015,44.13893194,1764726,
West Bengal,ARAMBAGH,2014593,1875000,TAPAN KUMAR RAY,0,BJP,Lotus,MALE,1,55,SC,Post Graduate,647755,1032,648787,36.76417756,44.06137476,1764726,
West Bengal,ARAMBAGH,10448352,17324,SAKTI MOHAN MALIK,0,CPI(M),"Hammer, Sickle and Star",MALE,2,59,SC,Post Graduate,100373,147,100520,5.696068398,6.826661741,1764726,
Tamil Nadu,ARANI,234564815,33409505,VISHNU PRASAD M K,1,INC,Hand,MALE,1,46,GENERAL,Graduate Professional,613390,4370,617760,42.62912742,53.9567497,1449150,
Tamil Nadu,ARANI,111158268,1884554,ELUMALAI V,0,AIADMK,Two Leaves,MALE,0,63,GENERAL,Graduate Professional,385294,1660,386954,26.70213573,33.79755912,1449150,
Tamil Nadu,ARANI,160000, -   ,SENTHAMIZHAN G,0,IND,Gift Pack,MALE,0,55,GENERAL,Post Graduate,46326,57,46383,3.200703861,4.051210699,1449150,
Tamil Nadu,ARANI,2934243, -   ,TAMIZHARASI A,0,NTK,Ganna Kisan,FEMALE,0,37,GENERAL,Post Graduate,32151,258,32409,2.23641445,2.830685543,1449150,
Bihar,ARARIA,5010577,1159200,PRADEEP KUMAR SINGH,1,BJP,Lotus,MALE,3,52,GENERAL,10th Pass,618004,430,618434,34.25394045,52.86931039,1805439,
Bihar,ARARIA,76618366,8566199,SARFARAZ ALAM,0,RJD,Hurricane Lamp,MALE,6,50,GENERAL,Graduate,481120,73,481193,26.65240975,41.13671317,1805439,
Bihar,ARRAH,79971720, -   ,R. K. Singh,1,BJP,Lotus,MALE,1,66,GENERAL,Graduate Professional,560106,6374,566480,27.11269948,52.33245632,2089353,
Bihar,ARRAH,682315, -   ,Raju Yadav,0,CPI(ML)(L),Flag with Three Stars,MALE,1,36,GENERAL,Post Graduate,418266,929,419195,20.06338804,38.7259992,2089353,
Andhra Pradesh,ARUKU,141179, -   ,GODDETI. MADHAVI,1,YSRCP,Ceiling Fan,FEMALE,0,26,ST,Graduate Professional,557561,4629,562190,38.73384511,52.13983965,1451418,
Andhra Pradesh,ARUKU,65729020, -   ,KISHORE CHANDRA DEO,0,TDP,Bicycle,MALE,0,72,ST,Post Graduate,336163,1938,338101,23.2945299,31.35689344,1451418,
Andhra Pradesh,ARUKU,2567059,320000,GANGULAIAH VAMPURU.,0,JnP,Glass Tumbler,MALE,3,49,ST,10th Pass,42245,549,42794,2.948426987,3.968893609,1451418,
Arunachal Pradesh,ARUNACHAL EAST,136628259, -   ,Tapir Gao,1,BJP,Lotus,MALE,0,54,ST,Post Graduate,148567,5316,153883,45.28794425,52.03689989,339788,
Arunachal Pradesh,ARUNACHAL EAST,353530297,4168771,Lowangcha Wanglat,0,INC,Hand,MALE,0,69,ST,Graduate,80378,3557,83935,24.70216723,28.38336394,339788,
Arunachal Pradesh,ARUNACHAL EAST,10452925, -   ,Mongol Yomso,0,PPA,Maize,MALE,0,47,ST,12th Pass,22160,777,22937,6.750385535,7.756349778,339788,
Arunachal Pradesh,ARUNACHAL EAST,12720974, -   ,Bandey Mili,0,JD(S),A lady farmer carrying paddy on her head,MALE,0,38,ST,12th Pass,15304,654,15958,4.696457791,5.396339092,339788,
Arunachal Pradesh,ARUNACHAL EAST,27303830, -   ,C. C. Singpho,0,IND,Helicopter,MALE,0,68,ST,Graduate,10955,538,11493,3.382403145,3.886459781,339788,
Arunachal Pradesh,ARUNACHAL WEST,15279000, -   ,KIREN RIJIJU,1,BJP,Lotus,MALE,0,47,ST,Graduate Professional,216494,9302,225796,48.68653981,62.02385956,463775,
Arunachal Pradesh,ARUNACHAL WEST,1002950534,204955775,NABAM TUKI,0,INC,Hand,MALE,1,51,ST,Graduate,49362,1591,50953,10.98657754,13.99626971,463775,
Arunachal Pradesh,ARUNACHAL WEST,38265000, -   ,JARJUM ETE,0,JD(S),A lady farmer carrying paddy on her head,FEMALE,0,56,ST,Post Graduate,41510,2410,43920,9.470109428,12.0643763,463775,
Arunachal Pradesh,ARUNACHAL WEST,300737886,7500000,KHYODA APIK,0,NPEP,Book,MALE,1,42,ST,12th Pass,26530,589,27119,5.847447577,7.449312863,463775,
West Bengal,ASANSOL,59234826,5722184,BABUL SUPRIYO,1,BJP,Lotus,MALE,4,48,GENERAL,Graduate,632727,651,633378,39.19745771,51.1551499,1615865,
West Bengal,ASANSOL,101582564, -   ,MOON MOON SEN,0,AITC,Flowers and Grass,FEMALE,0,65,GENERAL,Post Graduate,435584,157,435741,26.96642356,35.19288035,1615865,
West Bengal,ASANSOL,1618401, -   ,GOURANGA CHATTERJEE,0,CPI(M),"Hammer, Sickle and Star",MALE,3,59,GENERAL,Post Graduate,87553,55,87608,5.421740059,7.07571209,1615865,
Odisha,ASKA,732470, -   ,Pramila Bisoyi,1,BJD,Conch,FEMALE,0,70,GENERAL,5th Pass,552364,385,552749,35.86612551,54.51764984,1541145,
Odisha,ASKA,16175950,17925000,Anita Subhadarshini,0,BJP,Lotus,FEMALE,0,47,GENERAL,Post Graduate,346249,1793,348042,22.58333901,34.32739252,1541145,
Odisha,ASKA,329980, -   ,Rama Krushna Panda,0,CPI,Ears of Corn And Sickle,MALE,1,47,GENERAL,Post Graduate,59889,89,59978,3.89178176,5.915631873,1541145,
Kerala,ATTINGAL,144098612,27622685,Adv. ADOOR PRAKASH,1,INC,Hand,MALE,7,63,GENERAL,Graduate Professional,379469,1526,380995,28.20701705,37.87045946,1350710,
Kerala,ATTINGAL,38448688,3611333,Dr. A. SAMPATH,0,CPI(M),"Hammer, Sickle and Star",MALE,0,56,GENERAL,Doctorate,340298,2450,342748,25.37539516,34.06875219,1350710,
Kerala,ATTINGAL,1981638, -   ,SOBHASURENDRAN,0,BJP,Lotus,FEMALE,40,49,GENERAL,Graduate,246502,1579,248081,18.36671084,24.65896259,1350710,
Bihar,AURANGABAD,167895109,3746607,SUSHIL KUMAR SINGH,1,BJP,Lotus,MALE,3,53,GENERAL,Post Graduate,426116,1605,427721,24.54100476,45.72262683,1742883,
Maharashtra,AURANGABAD,29562768,6800000,Imtiaz Jaleel Syed,1,AIMIM,Kite,MALE,4,50,GENERAL,Post Graduate,388784,258,389042,20.62478397,32.45459558,1886284,
Bihar,AURANGABAD,20394370,471998,UPENDRA PRASAD,0,HAMS,Telephone,MALE,0,55,GENERAL,Post Graduate,356846,323,357169,20.49299924,38.18074142,1742883,
Maharashtra,AURANGABAD,89820322,31390310,Chandrakant Khaire,0,SHS,Bow and Arrow,MALE,9,67,GENERAL,12th Pass,383759,791,384550,20.38664379,32.07986472,1886284,
Maharashtra,AURANGABAD,8389250, -   ,Harshwardhandada Raibhanji Jadhav,0,IND,Tractor Chalata Kisan,MALE,2,41,GENERAL,Graduate,283237,561,283798,15.04534842,23.67494851,1886284,
Maharashtra,AURANGABAD,339452909,198464347,Zambad Subhash Manakchand,0,INC,Hand,MALE,0,56,GENERAL,12th Pass,91688,101,91789,4.866128324,7.657206353,1886284,
Assam,AUTONOMOUS DISTRICT,20693570,5956209,HOREN SING BEY,1,BJP,Lotus,MALE,2,49,ST,Graduate,380183,1133,381316,47.90733028,61.71579878,795945,
Assam,AUTONOMOUS DISTRICT,7866276, -   ,BIREN SINGH ENGTI,0,INC,Hand,MALE,0,76,ST,Post Graduate,141344,346,141690,17.80148126,22.93245374,795945,
Assam,AUTONOMOUS DISTRICT,6830962,1606436,JONES INGTI KATHAR,0,NPP,Battery Torch,MALE,0,68,ST,Post Graduate,39425,158,39583,4.973082311,6.406488222,795945,
Assam,AUTONOMOUS DISTRICT,53785471,5000000,HOLIRAM TERANG,0,ASDC,Table,MALE,0,61,ST,Graduate,36840,75,36915,4.637883271,5.974673792,795945,
Uttar Pradesh,AZAMGARH,377859166,2853000,Akhilesh Yadav,1,SP,Bicycle,MALE,0,45,GENERAL,Graduate Professional,619594,1984,621578,34.74117579,60.3593333,1789168,
Uttar Pradesh,AZAMGARH,59380841,5415364,Dinesh Lal Yadav Nirahua,0,BJP,Lotus,MALE,1,40,GENERAL,12th Pass,360255,1449,361704,20.21632401,35.12384977,1789168,
Uttar Pradesh,BADAUN,40372093, -   ,Dr. Sanghmitra Maurya,0,BJP,Lotus,FEMALE,2,34,GENERAL,Graduate Professional,510343,1009,511352,27.03311947,47.28287504,1891576,
Uttar Pradesh,BADAUN,118688322,26510293,Dharmendra Yadav,0,SP,Bicycle,MALE,3,40,GENERAL,Post Graduate,491959,939,492898,26.05753086,45.57650022,1891576,
Uttar Pradesh,BADAUN,763872000,5000000,Saleem Iqbal Shervani,0,INC,Hand,MALE,5,66,GENERAL,Graduate,51896,51,51947,2.746228542,4.803351722,1891576,
Karnataka,BAGALKOT,43980663,7987991,Gaddigoudar Parvatagouda Chandanagouda,1,BJP,Lotus,MALE,0,68,GENERAL,Graduate Professional,661662,2976,664638,39.00434857,55.17032428,1704010,
Karnataka,BAGALKOT,78375219,26784734,Veena Kashappanavar,0,INC,Hand,FEMALE,0,38,GENERAL,Graduate,495636,815,496451,29.13427738,41.20944433,1704010,
Uttar Pradesh,BAGHPAT,78195793, -   ,Dr. SATYAPAL SINGH,1,BJP,Lotus,MALE,1,63,GENERAL,Post Graduate,519631,6158,525789,32.52686709,50.28552793,1616476,
Uttar Pradesh,BAGHPAT,275023812,29242618,JAYANT CHAUDHARY,0,RLD,Hand Pump,MALE,0,40,GENERAL,Post Graduate,500794,1493,502287,31.07296366,48.03783831,1616476,
West Bengal,BAHARAMPUR,101315437,8506984,ADHIR RANJAN CHOWDHURY,1,INC,Hand,MALE,7,63,GENERAL,10th Pass,589580,1526,591106,36.07873153,45.43359008,1638378,
West Bengal,BAHARAMPUR,47930322,2119820,APURBA SARKAR (DAVID),0,AITC,Flowers and Grass,MALE,9,55,GENERAL,12th Pass,509886,524,510410,31.15337242,39.23113403,1638378,
West Bengal,BAHARAMPUR,6200, -   ,KRISHNA JOYARDAR,0,BJP,Lotus,MALE,0,55,GENERAL,Graduate,141231,1807,143038,8.73046391,10.99418693,1638378,
Uttar Pradesh,BAHRAICH,45691463,3028133,AKSHAIBAR LAL,1,BJP,Lotus,MALE,0,73,SC,10th Pass,525512,470,525982,30.40520074,53.1218218,1729908,
Uttar Pradesh,BAHRAICH,11162030, -   ,SHABBIR BALMIKI,0,SP,Bicycle,MALE,1,60,SC,12th Pass,396843,387,397230,22.9624928,40.11844754,1729908,
Madhya Pradesh,BALAGHAT,88648133,1530693,DR DHAL SINGH BISEN,1,BJP,Lotus,MALE,0,66,GENERAL,Others,692859,3243,696102,39.3784101,50.70931647,1767725,
Madhya Pradesh,BALAGHAT,10237135, -   ,MADHU BHAGAT,0,INC,Hand,MALE,0,53,GENERAL,12th Pass,452594,1442,454036,25.68476432,33.07540449,1767725,
Madhya Pradesh,BALAGHAT,20550745,2200000,KANKAR MUNJARE,0,BSP,Elephant,MALE,6,68,GENERAL,Others,84996,181,85177,4.818453096,6.204934692,1767725,
Madhya Pradesh,BALAGHAT,44244840, -   ,BODHSINGH BHAGAT,0,IND,Auto- Rickshaw,MALE,0,62,GENERAL,Graduate,47105,115,47220,2.671229971,3.439860716,1767725,
Odisha,BALASORE,1346236,160,PRATAP CHANDRA SARANGI,1,BJP,Lotus,MALE,7,64,GENERAL,Graduate,481438,2420,483858,31.58793587,41.73510271,1531781,
Odisha,BALASORE,726151097,63341667,RABINDRA KUMAR JENA,0,BJD,Conch,MALE,0,51,GENERAL,Others,470242,660,470902,30.74212306,40.61758478,1531781,
Odisha,BALASORE,1042005000,1079582000,NAVAJYOTI PATNAIK,0,INC,Hand,MALE,0,46,GENERAL,Graduate Professional,179070,333,179403,11.71205283,15.47438015,1531781,
Uttar Pradesh,BALLIA,24498319, -   ,Virendra Singh,1,BJP,Lotus,MALE,2,62,GENERAL,Graduate,464039,5075,469114,25.73837185,47.357938,1822625,
Uttar Pradesh,BALLIA,26500222,531827,Sanatan Pandey,0,SP,Bicycle,MALE,5,56,GENERAL,Others,450408,3187,453595,24.88690762,45.79126585,1822625,
West Bengal,BALURGHAT,5825866,2168170,Sukanta Majumdar,1,BJP,Lotus,MALE,0,39,GENERAL,Doctorate,537577,1740,539317,37.66958813,45.00920936,1431704,
